B cell	T cell CD4+	T cell CD8+	Neutrophil	Macrophage	Myeloid dendritic cell
A_54	0.0383618799552148	0.072661326878015	0.12596999741039	0.104781363217856	0	0.379178733456059
A_55	0.0507753145456839	0.108795998332619	0.187492013518541	0.121730047388318	0.0415838335034037	0.528722161850084
A_56	0.0716350090296032	0.101706589298765	0.160167330222741	0.100448884328736	0.0238841960779693	0.415381733592999
A_57	0.0509046384591933	0.136891273257355	0.138628009622935	0.111925183244099	0.00641531215342017	0.442412646493447
A_58	0.0797124254290716	0.183213418866012	0.235370402680862	0.130249376246236	0.104057255878065	0.613756273500616
A_59	0.0383443773113328	0.162523218170183	0.100720661640347	0.095780687274606	0.0319223854668621	0.434267526598812
A_60	0.040177010544716	0.0900041473580367	0.136632257167064	0.100018937412339	0.0113126319243445	0.480076283399589
A_61	0.0689672586899503	0.0932771502188092	0.187165769373685	0.116810826359175	0.0299844584535953	0.457650934334875
A_62	0.0581682461474901	0.0851945273949399	0.172895987487063	0.105487673197408	0.00821066464668751	0.461800259396105
A_63	0.0488258761327169	0.171322677431716	0.082788973091295	0.0932610394852345	0.0454753741826207	0.413121165050703
A_64	0.0479153632903251	0.12278894376201	0.160147929321248	0.107280539561036	0.0720043233335114	0.46738389547537
A_65	0.156485069507881	0.202675806026133	0.328287462905208	0.192408396193854	0.0808794267561742	0.679525685881524
A_66	0.0433298891526939	0.0736180012362953	0.131304177270199	0.0835095459829406	0	0.353149938234542
A_67	0.0651223489985039	0.108493771702732	0.155345941091068	0.0925244352499359	0	0.446552646028471
A_68	0.0473609454808796	0.10626819805055	0.14519762522445	0.0898138777258174	0.0204107341159654	0.392291220834878
A_69	0.110178733589584	0.186564783791629	0.234621053672697	0.121316423857855	0	0.585751151914145
A_70	0.0646616998315803	0.0865120095886722	0.149737713601378	0.0838565934000553	0.10410977767491	0.440665743827701
A_71	0.0644641613987281	0.130817946192317	0.31151156811219	0.176575106920805	0	0.721073824118957
A_72	0.0435826368444781	0.115801997837972	0.135936589895136	0.0876445062659577	0	0.425351779214866
A_73	0.0326285881591939	0.346649640919974	0.180833497000808	0.167138738980647	0.0908441116619588	0.527654466767681
A_74	0.119647554612016	0.209952736548476	0.0939608381939858	0.165698503470748	0.152196833468281	0.558644562935479
A_75	0.192404735772983	0.316632456906356	0.386972103484174	0.276293771219897	0.116173340797498	0.766115680737594
A_76	0.0372083190911773	0.116930854763551	0.150391298936203	0.110037252461631	0.0244452684639717	0.483608769666228
A_77	0.0429508656502098	0.122412500578341	0.233851047241683	0.128337479082258	0.0620954222997013	0.51241453159258
A_78	0.158593480184892	0.187110945554972	0.307133043733929	0.158798174934288	0.0485920371048215	0.606786295834624
A_79	0.0535511438222447	0.0803280515349612	0.142402507029159	0.0996514196475642	0.0156161485803134	0.458933318260708
A_80	0.0900982853277159	0.14809817410971	0.182486989845208	0.109692680383024	0.0206721449171394	0.46878943057431
A_81	0.0419489234350417	0.123955453484639	0.158957496836553	0.113067634057032	0.00400156955501311	0.471823552700852
A_82	0.0755450436807226	0.156243912606014	0.199020188685064	0.14001121278554	0.0917755836097763	0.746437568492992
A_83	0.122970678377217	0.112642932195166	0.44444348698435	0.206634119788053	0.182101499471264	0.667192310310276
A_84	0.0821245255483113	0.0970069896576631	0.123269449745617	0.10418456097585	0.0159488224473284	0.399355282065294
A_85	0.065629943239161	0.0709421429562723	0.138030589132481	0.0801526010460842	0	0.533295400047208
A_86	0.063011325257761	0.124527915826936	0.196328740640885	0.112267068380658	0.198691381044006	0.505088438091189
A_87	0.134115210293306	0.209914388207848	0.35820146644832	0.243737962185711	0.0709925884756321	0.800971862738397
A_88	0.081850288191768	0.108173471586305	0.184168078280693	0.11600651321002	0.0322006209087723	0.455713867282829
A_89	0.045299510425207	0.085138579942422	0.180816653655362	0.0994189512281028	0.00288860848413941	0.43760822117897
A_90	0.136816499143	0.189167446573118	0.267888187383968	0.149757134999211	0.203610062182933	0.557790265899695
A_91	0.0570841325124184	0.236121819074388	0.326727021445606	0.136803785077618	0.0913063276891294	0.540280464026631
A_92	0.183396022418739	0.23818423954782	0.699497396104972	0.172354768649872	0.419061900956513	0.685757969202995
A_93	0.190540553971593	0.426474196948037	0.265429334246833	0.177443489566018	0.0853228660207568	0.601755334882194
A_94	0.0640339502681146	0.111401095657825	0.152380651424205	0.107293184512422	0	0.467669405308849
A_95	0.0577396823301231	0.0867321416713705	0.144516139265772	0.0893976233629212	0	0.419578590009308
A_96	0.0603027572304105	0.0717356732113672	0.153100787655031	0.0969325350370998	0	0.444885602638761
A_97	0.0684247729026619	0.0892692859567908	0.112730561532674	0.13714938570377	0.00431726679264413	0.437282824879429
A_98	0.0564115178961165	0.101994081860858	0.20043545022335	0.106373206459849	0.0283783857083648	0.490631960887345
